Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
La tia de la que paga,NFANDROID1-PRV-P-L3-HUAWEFRL-L23-22585-07C758E2E3D4FF06765D3C43098EAD7CBE3D2F9AC68742EE02C860B89021C41B9,Android DefaultWidevineL3Phone Android Phone,2021-12-04T18:47:15.835Z,2022-02-17T21:53:42.039Z,2021-12-04T18:47:15.835Z,2022-02-17T21:53:42.039Z,2021-12-04T18:47:15.835Z,2022-02-17T21:53:42.039Z,2021-12-04T18:47:15.835Z,2022-02-17T21:53:42.039Z,
El amigo de la que paga,NFANDROID1-PRV-T-L3-MSTARMSTAR=ANDROID=TV-4445-37F419D2207E13C70D7B6CFEEEBBC77F86DBB5F0DD3812EFE2D7FD903D34398F,Android DefaultWidevineL3Tablet Android Tablet,2022-01-17T02:26:10.998Z,2022-01-30T13:45:42.961Z,2022-01-17T02:26:10.998Z,2022-01-30T13:45:42.961Z,2022-01-17T02:26:10.998Z,2022-01-30T13:45:42.961Z,2022-01-17T02:26:10.998Z,2022-01-30T13:45:42.961Z,
La tia de la que paga,NFANDROID1-PRV-P-L3-HUAWEFRL-L23-8158-07C758E2E3D4FF06765D3C43098EAD7CBE3D2F9AC68742EE02C860B89021C41B9,Android DefaultWidevineL3Phone Android Phone,2021-09-02T00:03:01.043Z,2021-10-22T23:09:02.424Z,2021-09-02T00:03:01.043Z,2021-10-22T23:09:02.424Z,2021-09-02T00:03:01.043Z,2021-10-22T23:09:02.424Z,2021-09-02T00:03:01.043Z,2021-10-22T23:09:02.424Z,
La que paga,LGTV20182=21002876034,LG 2018 LG M16PP UHD TV Smart TV,,,,,,,,,
La que paga,SSTV-MSL1-0000000000000006252647,Samsung CE 2019 Muse-L UHD TV Smart TV,,,,,,,,,
La que paga,LGTV20186=61009521965,LG 2018 Mstar LM18A STD UHD TV Smart TV,,,,,,,,,
La que paga,NFANDROID1-PRV-P-HUAWESNE-LX3-8707-0087F6D084556992BCA70905DA068F73EBB6969D57CD98F099B45107717AEE71F,DefaultWidevineAndroidPhone,,,,,,,,,
La que paga,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-083ADEB08C6E8BC0300A7357BEC861486A2DE4470E34CC232B453ED9FED557FF0,DefaultWidevineAndroidPhone,,,,,,,,,
La que paga,NFCDCH-02-H6MFT02APPTLP5XA3FGGL8CVQW5F1D,Chrome PC (Cadmium),,,,,,,,,
La que paga,DISECOHPRS-0005-A3A9E131A8CD3338,DishTV Dish Hopper w/Sling  MVPD STB,,,,,,,,,
La que paga,NFANDROID1-PRV-T-L3-SAMSUSM-T530NU-5779-02230C8C3AC4612217D789C31840F939F4F43A466A8432DEF2E63266ED2245CF9,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
La que paga,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-BBED83EBD3595F8EDDEC5C3968D9F472F814BDC67BF6E88A64375C5348462A57,FireTV Stick 2016,,,,,,,,,
La que paga,NFCDCH-MC-GMNZJU2HGM0Q5TL59EJVX7P49F3CAY,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GLJ07C6YT1061T4C0V0MPDTQL8UGPT,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GGG9P0YUHLTL0AD0L8N9RLQUMMQ3XD,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GFA08Q7NYLHJK8XF3WJPVM2JVTAYL1,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GEC4917YNCGWFN6118VJT4343F5C15,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GD0A65M2N5JQDX5HFYEAT0C9WKCTT8,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GCNM1E728P91CDCPKHAQTLGMM1N8W3,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GC16GACE8YL2FAV90AJ2U6YUH59KWN,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GACZH4XR25U4DATJK6X3PHKAM8CEL0,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-GAA193P3A9VHH606M79NL6WTVRLH37,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-G9LZRFCGHPG3N4FU0A30W3477NKXU7,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-G8QNQRK9JUL5P6AY93V5V5RLTQ9R3J,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-G7EKR46APL9685UVX476T2909FGLXK,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFCDCH-MC-G5XN8WFECGJL76T3VFW2RUF5HH8NAA,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFAPPL-02-IPHONE10=6-CFB87226A7E122DDF58DEE38842FC60DF5541B374A5A655520632D5675F517C5,Apple iPhone X (GSM),,,,,,,,,
La que paga,NFCDCH-MC-EN7ZK8NUF3N4JAR59DTUH2PHDVTAW2,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
La que paga,NFAPPL-01-IPAD5=3-2BF42FDB2E1098B73EC8CF6A461F96AB86E5A8FA8AB1FE63DA0A12E2D7118636,iPad Air 2 WiFi,,,,,,,,,
La que paga,NFCDCH-02-F6ETFHJ6H3AJ4730HK9P3XC6CGVQUT,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFANDROID2-PRV-SW4KATV56582016G6G7UXX50-SKYWOGLOBE-7030-0EF8761F13C6604C4A1EA0AFB27959130D1BAEFAD8134E067564A9E79DFA0C65,Skyworth SW4K-ATV56582016-G6/G7/UXX50 Smart TV,,,,,,,,,
La que paga,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-5502B1376EFBC0640B057BF8ECDF61F3E045BBAF10187CEC998CCD520851A372,FireTV Stick 2016,,,,,,,,,
La que paga,NFCDSF-01-E6R5F2RN31GHVRCP5JQ9C1DXMJGH2T,Safari MAC (Cadmium),,,,,,,,,
La que paga,SLMAC-D8E1KD5GHXLY3NUF6C2PD9P1TC1JND,Mac,,,,,,,,,
La que paga,NFAPPL-02-IPHONE8=1-981B975672FF32145334C3BEC13214188AE653601C0353B80425B2F94961B15C,Apple iPhone 6s,,,,,,,,,
La que paga,NFAPPL-02-IPHONE8=1-DD3341B5F18DA3FDDB6264169DF1FA439AF19863446BCD117AFC46C70CBA9394,Apple iPhone 6s,,,,,,,,,
La que paga,NFAPPL-02-IPHONE7=2-F538619B27BA94B43F4DC3C12DC269CDD48FC475A4CC79B13F2B86BDCC0F680F,Apple iPhone 6,,,,,,,,,
La que paga,NFCDSF-01-DLPH2A18W1FTR11PCD5QJEQKG2KMC5,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFANDROID1-PRV-P-SAMSUSM-G920T-6205-EF670806C2ED449F4498457442AE8AA9829DE2443A180D950D4A3E7D22E62B1E,DefaultWidevineAndroidPhone (samsung_SM-G920T),,,,,,,,,
