Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
La que paga,Season 1 Character Intro Clip: Queens,Google Sabrina ATV Set Top Box,2023-07-29 01:49:42,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2820,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5638,""mediaOffsetMs"":2532},{""eventType"":""stopped"",""sessionOffsetMs"":7804,""mediaOffsetMs"":2532}]"
La que paga,"Black Mirror: Rachel, Jack and Ashley Too (Marketing Version Trailer)",Google Sabrina ATV Set Top Box,2023-07-29 01:49:41,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1179,""mediaOffsetMs"":0}]"
La que paga,Ugly Delicious: Season 1 (Trailer),Google Sabrina ATV Set Top Box,2023-07-29 01:49:40,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1484,""mediaOffsetMs"":0}]"
La que paga,Season 2 Direct Lift Hook 5: Never Have I Ever,Google Sabrina ATV Set Top Box,2023-07-29 01:49:40,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1187,""mediaOffsetMs"":0}]"
La que paga,All American: Homecoming: Season 1_hook_04_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:49:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1620,""mediaOffsetMs"":0}]"
La que paga,Season 7 Sensory Clip: Queer Eye,Google Sabrina ATV Set Top Box,2023-07-29 01:49:38,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1428,""mediaOffsetMs"":0}]"
La que paga,All American: Season 1 - CLM 7,Google Sabrina ATV Set Top Box,2023-07-29 01:49:36,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1656,""mediaOffsetMs"":0}]"
La que paga,Season 1 Teaser: Madre de alquiler,Google Sabrina ATV Set Top Box,2023-07-29 01:49:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1812,""mediaOffsetMs"":0}]"
La que paga,Pride & Prejudice_hook_01_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:49:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2479,""mediaOffsetMs"":0}]"
La que paga,Informative Clip: Unknown: Cave of Bones,Google Sabrina ATV Set Top Box,2023-07-29 01:49:27,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3249,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6338,""mediaOffsetMs"":2840},{""eventType"":""stopped"",""sessionOffsetMs"":7952,""mediaOffsetMs"":2840}]"
La que paga,Trailer: They Cloned Tyrone,Google Sabrina ATV Set Top Box,2023-07-29 01:48:12,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1527,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13553,""mediaOffsetMs"":12000},{""eventType"":""playing"",""sessionOffsetMs"":29546,""mediaOffsetMs"":28000},{""eventType"":""playing"",""sessionOffsetMs"":33559,""mediaOffsetMs"":32000},{""eventType"":""playing"",""sessionOffsetMs"":37516,""mediaOffsetMs"":36000},{""eventType"":""playing"",""sessionOffsetMs"":41550,""mediaOffsetMs"":40000},{""eventType"":""playing"",""sessionOffsetMs"":45528,""mediaOffsetMs"":44000},{""eventType"":""paused"",""sessionOffsetMs"":69698,""mediaOffsetMs"":66524},{""eventType"":""stopped"",""sessionOffsetMs"":70030,""mediaOffsetMs"":67811}]"
