Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.56,MX,Morelos,ATLACAHUALOYA,2023-04-21 01:24:40
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:89ac:2126:98:e858:c9bb,MX,Guerrero,3 DE MAYO,2023-02-22 22:48:24
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,200.68.186.147,MX,Ciudad De Mexico,MEXICO CITY,2023-06-20 22:10:27
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.40,MX,Morelos,OACALCO,2023-02-19 16:16:49
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:7f63:8c0b:b375:8a0b:aa1d,MX,Morelos,TEJALPA,2023-05-11 23:12:11
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:785b:dc45:3e0c:5d20:8622,MX,Morelos,CUAUTLA DE MORELOS,2023-03-02 22:46:42
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.253,MX,Morelos,TEMIXCO,2022-12-07 00:50:59
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.247,MX,Morelos,TLAQUILTENANGO,2023-02-25 17:16:51
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:785b:2126:98:e858:c9bb,MX,Morelos,JOJUTLA,2023-02-24 23:19:44
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:811a:2d49:b554:2c3a:b41,MX,Morelos,BENITO JUAREZ,2023-02-09 22:52:22
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.247,MX,Morelos,ITZAMATITLAN,2023-03-08 15:48:03
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.255,MX,Morelos,PUENTE DE IXTLA,2022-10-11 03:48:15
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2b3a:2122:5649:4022:db5c,MX,Morelos,TEMIXCO,2022-10-14 22:04:31
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.29,MX,Morelos,JIUTEPEC,2023-01-19 00:09:50
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.106,MX,Morelos,OACALCO,2023-01-27 23:26:50
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:5d1a:ad59:c8df:7eb4:284b,MX,Morelos,YAUTEPEC,2023-01-26 22:17:05
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:7a65:b0ce:64d9:ba21:d53b,MX,Morelos,JACARANDAS,2023-07-10 19:29:17
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:5ac9:2126:98:e858:c9bb,MX,Morelos,CUAUTLA DE MORELOS,2023-02-20 00:50:38
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a794:ce5:80f:4496:46c5,MX,Morelos,TEZOYUCA,2023-05-30 22:33:39
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:9c93:ad59:c8df:7eb4:284b,MX,Morelos,TEMIXCO,2022-12-24 16:54:39
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a794:28a3:48ab:123c:9bcf,MX,Morelos,TEZOYUCA,2023-06-06 21:47:57
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:e49a:b0ce:64d9:ba21:d53b,MX,Morelos,EMILIANO ZAPATA,2023-07-09 16:17:20
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:8a00:2d49:b554:2c3a:b41,MX,Morelos,TLAQUILTENANGO,2023-02-15 23:49:28
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:9200:2d49:b554:2c3a:b41,MX,Guerrero,3 DE MAYO,2023-02-16 22:21:07
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.42,MX,Morelos,CUERNAVACA,2023-01-10 23:19:39
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.41.17,MX,Morelos,AMPLIACION LOS ROBLES,2022-10-16 17:14:31
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.231,MX,Morelos,JIUTEPEC,2022-11-25 05:50:19
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.231,MX,Morelos,TEMIXCO,2022-11-25 05:15:10
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,189.235.237.122,MX,Morelos,LA CALERA,2023-07-13 23:11:45
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2a47:1c38:4785:2368:8a6a,MX,Morelos,TEMIXCO,2022-10-05 22:41:09
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.41.15,MX,Morelos,CUERNAVACA,2022-10-29 21:44:14
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:1ee9:d5c4:355c:bf43:25e9,MX,Morelos,TEMIXCO,2022-10-29 23:14:57
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.125,MX,Morelos,ITZAMATITLAN,2023-05-13 18:54:24
